State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Puerto Rico,Humacao Municipio,Metro area,43.8%,2.9%
Puerto Rico,Cataño Municipio,Metro area,43.6%,3.3%
Puerto Rico,Fajardo Municipio,Metro area,43.3%,3.3%
Puerto Rico,Vieques Municipio,Rural area,43.3%,10.3%
Puerto Rico,Manatí Municipio,Metro area,41.7%,3.2%
Puerto Rico,Vega Baja Municipio,Metro area,40.6%,2.4%
Puerto Rico,Cayey Municipio,Metro area,40.6%,2.6%
Puerto Rico,Sabana Grande Municipio,Metro area,40.1%,3.8%
Alaska,Bethel Census Area,Rural area,39.7%,2.9%
South Dakota,Todd County,Rural area,39.2%,4.2%
Texas,Starr County,Small town,39.1%,3.0%
Puerto Rico,Caguas Municipio,Metro area,38.9%,1.7%
Texas,Hudspeth County,Metro area,36.0%,8.5%
Kentucky,Wolfe County,Rural area,36.0%,7.6%
Kentucky,Clay County,Small town,35.6%,4.2%
Georgia,Randolph County,Rural area,35.6%,6.2%
South Dakota,Buffalo County,Rural area,35.6%,5.7%
New York,Bronx County,Metro area,35.5%,0.6%
West Virginia,McDowell County,Rural area,35.5%,4.9%
Puerto Rico,Dorado Municipio,Metro area,35.4%,3.7%
Mississippi,Sunflower County,Small town,34.8%,3.3%
Texas,Presidio County,Rural area,34.7%,10.2%
Puerto Rico,Gurabo Municipio,Metro area,34.6%,3.0%
Puerto Rico,Toa Baja Municipio,Metro area,34.5%,2.0%
West Virginia,Mingo County,Rural area,34.2%,4.0%
South Dakota,Ziebach County,Rural area,34.1%,4.4%
Mississippi,Humphreys County,Rural area,34.0%,5.0%
Georgia,Calhoun County,Rural area,33.9%,5.6%
Alaska,Northwest Arctic Borough,Rural area,33.7%,2.4%
Kentucky,Lee County,Rural area,33.6%,6.6%
Puerto Rico,Bayamón Municipio,Metro area,33.3%,1.0%
Mississippi,Sharkey County,Rural area,33.2%,7.5%
Alaska,Nome Census Area,Rural area,32.8%,2.0%
Georgia,Mitchell County,Rural area,32.6%,4.3%
New Mexico,San Miguel County,Small town,32.2%,2.7%
Puerto Rico,San Juan Municipio,Metro area,32.1%,0.8%
West Virginia,Clay County,Metro area,32.0%,6.2%
Kentucky,Owsley County,Rural area,32.0%,5.6%
Colorado,Costilla County,Rural area,31.9%,6.6%
New Mexico,Mora County,Small town,31.8%,9.4%
Alaska,Yukon-Koyukuk Census Area,Rural area,31.7%,3.5%
Kentucky,Breathitt County,Rural area,31.7%,3.3%
Kentucky,Magoffin County,Rural area,31.5%,4.5%
Mississippi,Coahoma County,Small town,31.5%,3.9%
Alabama,Perry County,Rural area,31.4%,7.5%
Georgia,Taylor County,Rural area,31.4%,6.3%
Missouri,Mississippi County,Rural area,31.4%,4.5%
Alabama,Wilcox County,Rural area,31.2%,4.6%
Kentucky,McCreary County,Rural area,31.1%,6.5%
Kentucky,Knox County,Small town,31.1%,3.9%
Georgia,Warren County,Rural area,31.1%,5.6%
Florida,Liberty County,Rural area,31.1%,6.8%
Missouri,Pemiscot County,Rural area,31.0%,3.6%
Tennessee,Hancock County,Rural area,31.0%,5.4%
Louisiana,East Carroll Parish,Rural area,30.9%,5.3%
Texas,Zavala County,Rural area,30.8%,7.7%
North Dakota,Sioux County,Rural area,30.6%,4.5%
Puerto Rico,Trujillo Alto Municipio,Metro area,30.6%,2.4%
West Virginia,Webster County,Rural area,30.4%,4.9%
New Mexico,McKinley County,Small town,30.3%,1.9%
Puerto Rico,Carolina Municipio,Metro area,30.3%,1.4%
Alaska,Lake and Peninsula Borough,Rural area,30.1%,4.1%
Puerto Rico,Toa Alta Municipio,Metro area,30.0%,2.7%
Mississippi,Quitman County,Rural area,29.9%,4.3%
Texas,Brooks County,Rural area,29.5%,9.7%
Virginia,Emporia city,Rural area,29.5%,8.3%
North Carolina,Bladen County,Rural area,29.5%,3.3%
Tennessee,Lake County,Rural area,29.5%,5.9%
Florida,Hamilton County,Rural area,29.4%,3.8%
North Carolina,Robeson County,Small town,29.4%,1.3%
Kentucky,Letcher County,Rural area,29.3%,4.3%
Alaska,Dillingham Census Area,Rural area,29.1%,2.9%
Texas,Hidalgo County,Metro area,29.0%,1.0%
North Carolina,Halifax County,Small town,29.0%,2.6%
Tennessee,Haywood County,Small town,28.9%,2.9%
Kentucky,Estill County,Small town,28.8%,4.1%
Georgia,Stewart County,Metro area,28.8%,8.1%
Mississippi,Holmes County,Metro area,28.8%,3.8%
Arizona,Apache County,Rural area,28.7%,2.0%
Georgia,Clay County,Rural area,28.6%,7.1%
Mississippi,Tallahatchie County,Rural area,28.6%,5.1%
Alabama,Bullock County,Rural area,28.4%,7.9%
Texas,Zapata County,Small town,28.4%,6.0%
Alabama,Lowndes County,Metro area,28.4%,4.5%
Kentucky,Knott County,Rural area,28.3%,3.6%
North Carolina,Scotland County,Small town,28.3%,1.9%
Georgia,Washington County,Rural area,28.3%,3.9%
Mississippi,Noxubee County,Rural area,28.2%,5.9%
Alabama,Dallas County,Small town,28.1%,3.4%
Georgia,Quitman County,Small town,28.0%,9.3%
West Virginia,Wirt County,Metro area,27.9%,5.6%
Texas,Culberson County,Rural area,27.9%,10.5%
Kentucky,Jackson County,Rural area,27.9%,5.2%
Texas,Duval County,Small town,27.8%,5.7%
South Dakota,Mellette County,Rural area,27.8%,5.6%
Oregon,Jefferson County,Rural area,27.8%,2.9%
Georgia,Treutlen County,Small town,27.7%,6.1%
Arkansas,Phillips County,Small town,27.7%,3.7%
Mississippi,Tunica County,Metro area,27.7%,4.6%
North Carolina,Washington County,Rural area,27.5%,5.2%
Texas,Willacy County,Small town,27.3%,5.1%
Kentucky,Harlan County,Rural area,27.2%,2.3%
Virginia,Norton city,Small town,27.2%,9.9%
Georgia,Crisp County,Small town,27.1%,3.9%
North Carolina,Hertford County,Rural area,27.0%,2.5%
Louisiana,Morehouse Parish,Metro area,27.0%,4.0%
Puerto Rico,Culebra Municipio,Rural area,27.0%,7.1%
West Virginia,Lincoln County,Metro area,26.9%,4.5%
South Dakota,Corson County,Rural area,26.9%,2.8%
Alabama,Sumter County,Rural area,26.8%,4.2%
Oregon,Malheur County,Small town,26.8%,2.8%
Louisiana,Natchitoches Parish,Small town,26.8%,2.2%
Texas,Jim Hogg County,Rural area,26.8%,8.4%
Missouri,New Madrid County,Rural area,26.8%,3.1%
New Mexico,De Baca County,Rural area,26.7%,9.1%
Kentucky,Robertson County,Rural area,26.7%,8.3%
North Carolina,Richmond County,Small town,26.6%,3.3%
Ohio,Scioto County,Small town,26.6%,2.2%
Texas,Dimmit County,Rural area,26.5%,8.1%
Georgia,Heard County,Metro area,26.4%,5.0%
Kentucky,Lawrence County,Rural area,26.3%,4.6%
West Virginia,Summers County,Rural area,26.3%,4.3%
Arkansas,Lee County,Rural area,26.2%,5.3%
Mississippi,Bolivar County,Small town,26.1%,2.4%
Louisiana,St. Helena Parish,Metro area,26.1%,5.9%
West Virginia,Calhoun County,Rural area,26.0%,6.3%
South Carolina,Allendale County,Rural area,26.0%,5.9%
Louisiana,Claiborne Parish,Rural area,26.0%,3.9%
New Mexico,Cibola County,Small town,25.9%,4.2%
Texas,Maverick County,Small town,25.9%,2.9%
Georgia,Dougherty County,Metro area,25.8%,1.9%
West Virginia,Logan County,Small town,25.8%,3.6%
South Carolina,Lee County,Rural area,25.8%,4.0%
Florida,Hardee County,Small town,25.7%,4.7%
Pennsylvania,Philadelphia County,Metro area,25.7%,0.6%
Alabama,Barbour County,Small town,25.6%,3.0%
Georgia,Macon County,Rural area,25.6%,4.4%
Georgia,Taliaferro County,Rural area,25.6%,12.1%
Colorado,Bent County,Rural area,25.6%,6.3%
Virginia,Lee County,Rural area,25.6%,3.7%
Louisiana,Richland Parish,Rural area,25.5%,3.3%
North Carolina,Bertie County,Rural area,25.4%,4.3%
Louisiana,Washington Parish,Small town,25.4%,2.7%
Louisiana,Evangeline Parish,Rural area,25.4%,2.8%
Alabama,Greene County,Metro area,25.4%,6.2%
North Dakota,Rolette County,Rural area,25.3%,3.4%
Mississippi,Yazoo County,Metro area,25.3%,3.9%
Colorado,Alamosa County,Rural area,25.3%,4.1%
Georgia,Terrell County,Metro area,25.2%,5.2%
New Mexico,Luna County,Small town,25.1%,3.9%
Alabama,Hale County,Metro area,25.0%,4.6%
Illinois,Saline County,Rural area,25.0%,2.9%
Kentucky,Perry County,Rural area,25.0%,3.1%
North Carolina,Lenoir County,Small town,24.9%,2.2%
Kentucky,Bell County,Small town,24.9%,3.1%
Georgia,Evans County,Rural area,24.8%,4.0%
North Carolina,Anson County,Metro area,24.8%,3.4%
North Carolina,Edgecombe County,Metro area,24.8%,2.4%
North Carolina,Columbus County,Rural area,24.7%,2.6%
Louisiana,Concordia Parish,Small town,24.7%,4.5%
Texas,Cameron County,Metro area,24.6%,1.0%
Maryland,Somerset County,Metro area,24.5%,3.7%
North Carolina,Tyrrell County,Rural area,24.5%,8.1%
Texas,Webb County,Metro area,24.4%,1.3%
North Carolina,Hyde County,Rural area,24.3%,7.7%
California,Imperial County,Metro area,24.3%,1.9%
Mississippi,Issaquena County,Rural area,24.3%,8.9%
Louisiana,Caldwell Parish,Rural area,24.3%,6.3%
Georgia,Emanuel County,Rural area,24.3%,4.1%
Kentucky,Elliott County,Rural area,24.3%,7.5%
Louisiana,Tensas Parish,Rural area,24.2%,6.6%
Kentucky,Floyd County,Rural area,24.2%,2.5%
Texas,Crosby County,Metro area,24.2%,4.2%
Georgia,Hancock County,Small town,24.2%,6.4%
Tennessee,Lauderdale County,Rural area,24.1%,2.6%
Kentucky,Lewis County,Rural area,24.1%,3.9%
Louisiana,Madison Parish,Rural area,24.1%,3.9%
Missouri,Dunklin County,Small town,24.1%,1.9%
Florida,Miami-Dade County,Metro area,24.0%,0.4%
West Virginia,Mercer County,Small town,24.0%,2.0%
Pennsylvania,Cameron County,Rural area,24.0%,4.3%
Kentucky,Rowan County,Rural area,24.0%,3.7%
New Mexico,Colfax County,Rural area,24.0%,4.4%
West Virginia,Wyoming County,Rural area,23.9%,3.2%
Louisiana,Bienville Parish,Rural area,23.9%,4.4%
Kentucky,Clinton County,Rural area,23.8%,4.3%
Virginia,Hopewell city,Metro area,23.8%,3.3%
Florida,Gadsden County,Metro area,23.7%,3.2%
North Carolina,Northampton County,Small town,23.7%,3.6%
Mississippi,Jefferson County,Rural area,23.7%,16.1%
Ohio,Pike County,Rural area,23.6%,2.9%
Arkansas,St. Francis County,Small town,23.6%,3.2%
Georgia,Dooly County,Rural area,23.6%,4.5%
Oregon,Josephine County,Metro area,23.6%,2.1%
Georgia,Early County,Rural area,23.5%,4.7%
New Mexico,Doña Ana County,Metro area,23.5%,1.4%
New Mexico,Chaves County,Small town,23.5%,2.2%
Puerto Rico,Guaynabo Municipio,Metro area,23.4%,1.6%
South Dakota,Dewey County,Rural area,23.4%,2.9%
Mississippi,Wilkinson County,Rural area,23.4%,6.6%
Georgia,Sumter County,Small town,23.3%,3.4%
North Carolina,Vance County,Small town,23.2%,2.3%
Louisiana,Avoyelles Parish,Rural area,23.2%,2.7%
Arizona,Santa Cruz County,Small town,23.2%,2.9%
South Carolina,Marion County,Rural area,23.2%,2.7%
South Carolina,Barnwell County,Rural area,23.2%,3.6%
North Carolina,Chowan County,Rural area,23.1%,4.1%
Nevada,Esmeralda County,Rural area,23.1%,20.7%
Georgia,Charlton County,Rural area,23.1%,5.4%
Georgia,Johnson County,Small town,23.1%,4.1%
Tennessee,Scott County,Rural area,23.1%,3.8%
South Carolina,Williamsburg County,Rural area,23.0%,2.9%
Maryland,Baltimore city,Metro area,23.0%,0.7%
Mississippi,Washington County,Small town,23.0%,2.2%
Texas,Kenedy County,Small town,22.9%,25.8%
Kentucky,Powell County,Rural area,22.9%,5.3%
Virginia,Petersburg city,Metro area,22.8%,2.3%
Oregon,Harney County,Rural area,22.8%,4.6%
Louisiana,De Soto Parish,Metro area,22.8%,2.9%
Oklahoma,Choctaw County,Rural area,22.8%,2.6%
Oklahoma,Greer County,Rural area,22.8%,6.5%
New Mexico,Roosevelt County,Small town,22.7%,3.6%
Oklahoma,Jefferson County,Rural area,22.7%,2.8%
Oregon,Klamath County,Small town,22.6%,1.8%
Kentucky,Johnson County,Rural area,22.6%,3.6%
Ohio,Meigs County,Rural area,22.6%,2.8%
Oregon,Coos County,Small town,22.6%,2.0%
Tennessee,Fentress County,Rural area,22.5%,3.5%
Arkansas,Bradley County,Rural area,22.5%,4.4%
Massachusetts,Hampden County,Metro area,22.4%,0.9%
Pennsylvania,Fayette County,Metro area,22.4%,1.4%
Mississippi,Kemper County,Small town,22.4%,7.6%
Georgia,Upson County,Small town,22.4%,3.2%
Ohio,Lawrence County,Metro area,22.4%,1.9%
Georgia,Toombs County,Small town,22.4%,3.1%
Minnesota,Mahnomen County,Rural area,22.4%,2.2%
Louisiana,Webster Parish,Small town,22.4%,2.7%
Louisiana,St. Mary Parish,Small town,22.3%,2.4%
Tennessee,Campbell County,Metro area,22.3%,2.1%
Arkansas,Chicot County,Rural area,22.3%,3.2%
Georgia,Grady County,Rural area,22.2%,3.3%
North Carolina,Warren County,Rural area,22.2%,3.0%
Georgia,Turner County,Rural area,22.1%,5.7%
North Carolina,Greene County,Rural area,22.1%,2.8%
Oklahoma,Adair County,Rural area,22.1%,2.3%
North Carolina,Jones County,Metro area,22.1%,4.2%
Tennessee,Bledsoe County,Rural area,22.1%,4.4%
Virginia,Danville city,Small town,22.0%,2.1%
Missouri,Butler County,Small town,22.0%,2.3%
Oklahoma,Haskell County,Rural area,22.0%,2.5%
Georgia,Webster County,Rural area,22.0%,5.3%
California,Tulare County,Metro area,21.9%,0.8%
Arkansas,Desha County,Rural area,21.9%,3.7%
Washington,Yakima County,Metro area,21.9%,1.2%
Kentucky,Leslie County,Rural area,21.9%,5.1%
New Mexico,Guadalupe County,Rural area,21.9%,6.4%
New Mexico,San Juan County,Metro area,21.9%,1.5%
South Carolina,Dillon County,Rural area,21.9%,2.7%
Louisiana,Iberia Parish,Metro area,21.9%,2.2%
Florida,Hendry County,Small town,21.8%,4.0%
Kentucky,Carter County,Metro area,21.8%,2.8%
West Virginia,Roane County,Rural area,21.8%,3.5%
Wisconsin,Menominee County,Small town,21.7%,5.6%
Illinois,Franklin County,Rural area,21.7%,2.0%
Texas,Marion County,Rural area,21.7%,4.3%
Virginia,Dickenson County,Rural area,21.6%,3.4%
Michigan,Wayne County,Metro area,21.6%,0.4%
Virginia,Wise County,Small town,21.6%,3.0%
Mississippi,Amite County,Rural area,21.6%,4.5%
New York,Kings County,Metro area,21.6%,0.4%
Washington,Franklin County,Metro area,21.6%,2.2%
Georgia,Jefferson County,Rural area,21.5%,3.5%
Florida,Putnam County,Small town,21.5%,2.2%
West Virginia,Fayette County,Metro area,21.5%,2.2%
Texas,Frio County,Small town,21.5%,6.7%
Arkansas,Nevada County,Small town,21.5%,5.8%
Georgia,Twiggs County,Metro area,21.5%,4.8%
Texas,Uvalde County,Small town,21.4%,3.9%
West Virginia,Boone County,Metro area,21.4%,2.8%
Maryland,Dorchester County,Small town,21.4%,2.2%
Florida,Dixie County,Rural area,21.3%,3.6%
Georgia,Jenkins County,Rural area,21.3%,6.1%
West Virginia,Lewis County,Rural area,21.3%,3.1%
Alabama,Macon County,Rural area,21.3%,3.2%
Ohio,Vinton County,Rural area,21.3%,3.8%
West Virginia,Nicholas County,Rural area,21.3%,3.5%
Louisiana,Sabine Parish,Rural area,21.3%,2.5%
Maryland,Allegany County,Metro area,21.2%,1.5%
Tennessee,Cocke County,Small town,21.2%,3.0%
South Carolina,Marlboro County,Small town,21.2%,3.2%
Ohio,Adams County,Rural area,21.2%,3.3%
Georgia,Candler County,Rural area,21.2%,5.1%
Kentucky,Fulton County,Rural area,21.1%,5.6%
Louisiana,St. Bernard Parish,Metro area,21.1%,2.4%
New Mexico,Quay County,Rural area,21.1%,4.6%
South Dakota,Jackson County,Rural area,21.1%,5.9%
Colorado,Crowley County,Rural area,21.0%,4.4%
Tennessee,Pickett County,Rural area,21.0%,6.5%
Georgia,McIntosh County,Metro area,21.0%,5.0%
Arkansas,Stone County,Rural area,20.9%,5.6%
Mississippi,Claiborne County,Rural area,20.9%,5.2%
Oklahoma,Seminole County,Rural area,20.9%,1.8%
Georgia,Bibb County,Metro area,20.9%,1.6%
Georgia,Laurens County,Small town,20.9%,2.0%
Louisiana,Acadia Parish,Metro area,20.8%,2.1%
Kentucky,Green County,Small town,20.8%,3.9%
Mississippi,Wayne County,Rural area,20.8%,3.8%
Louisiana,Franklin Parish,Rural area,20.7%,3.3%
Oklahoma,Tillman County,Rural area,20.7%,3.9%
Tennessee,Lewis County,Rural area,20.7%,5.1%
Georgia,Meriwether County,Metro area,20.7%,3.9%
Georgia,Decatur County,Small town,20.7%,3.2%
Alabama,Choctaw County,Rural area,20.7%,3.5%
Mississippi,Leflore County,Small town,20.7%,3.1%
Ohio,Morgan County,Rural area,20.7%,3.2%
Arkansas,Woodruff County,Rural area,20.7%,3.7%
Texas,Cottle County,Rural area,20.6%,7.1%
Virginia,Brunswick County,Rural area,20.6%,3.5%
South Carolina,Clarendon County,Metro area,20.6%,2.2%
Georgia,Telfair County,Rural area,20.6%,5.1%
California,Del Norte County,Small town,20.6%,3.5%
Virginia,Charlotte County,Rural area,20.5%,3.5%
Kentucky,Rockcastle County,Rural area,20.5%,3.0%
Georgia,Appling County,Rural area,20.5%,3.8%
Illinois,Marion County,Small town,20.5%,1.9%
South Carolina,Bamberg County,Rural area,20.4%,4.6%
Florida,DeSoto County,Small town,20.4%,2.5%
Florida,Calhoun County,Rural area,20.4%,4.5%
Arkansas,Poinsett County,Metro area,20.3%,2.5%
Texas,El Paso County,Metro area,20.3%,0.6%
Michigan,Ogemaw County,Rural area,20.3%,2.0%
Tennessee,Sequatchie County,Metro area,20.3%,3.8%
Kentucky,Morgan County,Rural area,20.3%,3.2%
Colorado,Otero County,Rural area,20.3%,3.5%
Mississippi,Jefferson Davis County,Rural area,20.3%,4.2%
Tennessee,Van Buren County,Rural area,20.2%,5.5%
Oklahoma,Okmulgee County,Metro area,20.2%,1.7%
Maine,Washington County,Rural area,20.2%,1.4%
Missouri,Cedar County,Rural area,20.2%,4.1%
Kentucky,Bath County,Small town,20.2%,4.1%
Tennessee,Union County,Metro area,20.1%,3.2%
Illinois,Gallatin County,Rural area,20.1%,3.8%
Oregon,Wasco County,Small town,20.0%,2.5%
Alabama,Clarke County,Rural area,20.0%,3.3%
Oklahoma,Le Flore County,Rural area,20.0%,1.4%
Oregon,Umatilla County,Small town,20.0%,1.9%
Mississippi,Winston County,Rural area,20.0%,3.5%
Georgia,Bleckley County,Rural area,20.0%,5.5%
New Mexico,Grant County,Small town,20.0%,2.7%
Georgia,Wayne County,Small town,19.9%,3.3%
Arkansas,Jackson County,Rural area,19.9%,3.5%
Georgia,Marion County,Metro area,19.9%,4.3%
Oklahoma,Kiowa County,Rural area,19.9%,4.3%
Illinois,Pulaski County,Rural area,19.9%,4.2%
Missouri,Oregon County,Rural area,19.9%,4.2%
Georgia,Talbot County,Metro area,19.9%,3.9%
Mississippi,Covington County,Metro area,19.8%,4.8%
Arizona,Navajo County,Small town,19.8%,1.3%
Oklahoma,McCurtain County,Rural area,19.8%,1.8%
Georgia,Schley County,Small town,19.8%,5.8%
North Dakota,Benson County,Rural area,19.7%,3.1%
Texas,Kinney County,Rural area,19.7%,8.1%
New Mexico,Valencia County,Metro area,19.7%,2.3%
Mississippi,Webster County,Small town,19.7%,3.1%
Florida,Okeechobee County,Small town,19.7%,2.3%
Oregon,Sherman County,Rural area,19.7%,4.8%
Kentucky,Montgomery County,Small town,19.7%,3.2%
Florida,Osceola County,Metro area,19.6%,1.2%
Oklahoma,Pushmataha County,Rural area,19.6%,2.3%
Montana,Prairie County,Rural area,19.6%,10.0%
Washington,Adams County,Small town,19.6%,3.2%
South Carolina,Hampton County,Rural area,19.6%,3.1%
South Carolina,Colleton County,Rural area,19.6%,3.1%
Colorado,Pueblo County,Metro area,19.5%,1.2%
Alaska,North Slope Borough,Rural area,19.5%,3.9%
Tennessee,Hardeman County,Rural area,19.5%,3.2%
Texas,Camp County,Small town,19.5%,4.4%
West Virginia,Wayne County,Metro area,19.5%,2.8%
Louisiana,Iberville Parish,Metro area,19.5%,3.2%
Alabama,Russell County,Metro area,19.5%,2.5%
Mississippi,Montgomery County,Rural area,19.5%,3.6%
Illinois,Perry County,Rural area,19.5%,2.8%
Kentucky,Martin County,Rural area,19.4%,4.8%
Pennsylvania,Lawrence County,Small town,19.4%,1.2%
Louisiana,Allen Parish,Rural area,19.4%,4.3%
Georgia,Long County,Metro area,19.4%,5.1%
Virginia,Franklin city,Metro area,19.4%,5.4%
Maine,Somerset County,Rural area,19.4%,1.8%
Louisiana,West Carroll Parish,Rural area,19.4%,3.7%
Alabama,Lamar County,Rural area,19.4%,4.4%
Georgia,Seminole County,Rural area,19.4%,4.3%
New York,Chautauqua County,Small town,19.4%,1.1%
Georgia,Chattooga County,Small town,19.3%,3.3%
Arkansas,Mississippi County,Small town,19.3%,2.5%
West Virginia,Raleigh County,Metro area,19.3%,1.9%
Alabama,Montgomery County,Metro area,19.3%,1.1%
Maine,Aroostook County,Rural area,19.2%,1.4%
Texas,Cochran County,Rural area,19.2%,4.5%
Texas,Haskell County,Rural area,19.2%,4.2%
South Carolina,Orangeburg County,Small town,19.2%,2.2%
Oklahoma,McIntosh County,Rural area,19.2%,2.5%
Georgia,Thomas County,Small town,19.2%,2.6%
Oregon,Union County,Small town,19.2%,2.1%
North Carolina,Wilson County,Small town,19.1%,1.7%
California,Merced County,Metro area,19.1%,1.1%
Texas,Jeff Davis County,Rural area,19.1%,9.1%
Missouri,Washington County,Rural area,19.1%,2.7%
Illinois,Stephenson County,Small town,19.1%,2.3%
New Mexico,Curry County,Small town,19.1%,2.3%
Mississippi,Pike County,Small town,19.1%,2.6%
Mississippi,Attala County,Rural area,19.1%,3.1%
Virginia,Buchanan County,Rural area,19.0%,3.0%
Hawaii,Hawaii County,Small town,19.0%,1.0%
Mississippi,Alcorn County,Small town,19.0%,2.9%
Louisiana,Caddo Parish,Metro area,19.0%,1.1%
West Virginia,Pocahontas County,Rural area,19.0%,4.3%
Texas,San Augustine County,Rural area,19.0%,4.0%
Alabama,Fayette County,Rural area,19.0%,3.1%
Washington,Cowlitz County,Metro area,19.0%,1.4%
Ohio,Jackson County,Small town,19.0%,2.9%
Georgia,Brantley County,Metro area,19.0%,5.1%
Georgia,Berrien County,Rural area,18.9%,3.4%
Kentucky,Pike County,Rural area,18.9%,1.9%
Michigan,Lake County,Rural area,18.9%,2.1%
Florida,Jackson County,Rural area,18.9%,2.3%
Wisconsin,Milwaukee County,Metro area,18.9%,0.5%
Georgia,Clayton County,Metro area,18.9%,1.1%
Texas,Collingsworth County,Rural area,18.9%,7.1%
Kentucky,Whitley County,Small town,18.9%,2.6%
Alabama,Tallapoosa County,Small town,18.9%,2.2%
Florida,Union County,Rural area,18.9%,4.4%
North Carolina,Person County,Metro area,18.9%,2.9%
Texas,Angelina County,Small town,18.9%,1.9%
Ohio,Perry County,Metro area,18.8%,2.4%
Texas,Kleberg County,Small town,18.8%,2.7%
Georgia,Atkinson County,Small town,18.8%,4.7%
Georgia,Richmond County,Metro area,18.8%,1.3%
Kentucky,Menifee County,Small town,18.8%,5.5%
Ohio,Muskingum County,Small town,18.8%,1.4%
Illinois,Coles County,Small town,18.8%,2.1%
Virginia,Martinsville city,Small town,18.8%,3.8%
California,Fresno County,Metro area,18.8%,0.6%
Michigan,Saginaw County,Metro area,18.7%,0.9%
Missouri,St. Louis city,Metro area,18.7%,0.9%
